metal,unit,year,mean,median,min,max,origin_var
Nickel,kg/MW,2050,658.0,658.0,658.0,658.0,Parabolic Trough - PB
Niobium,kg/MW,2050,0.0,0.0,0.0,0.0,Parabolic Trough - PB
Silver,kg/MW,2050,17.84393902439024,14.167124999999999,4.4835,28.248499999999996,Parabolic Trough - PB
Titanium,kg/MW,2050,17.5,17.5,17.5,17.5,Parabolic Trough - PB
Vanadium,kg/MW,2050,1.3299999999999998,1.3299999999999998,1.3299999999999998,1.3299999999999998,Parabolic Trough - PB
Zinc,kg/MW,2050,454.99999999999994,454.99999999999994,454.99999999999994,454.99999999999994,Parabolic Trough - PB
Aluminium,kg/MW,2050,17937.5,13671.875,875.0,35000.0,SOFC - Y
Chromium,kg/MW,2050,5862.5,4703.125,1225.0,10500.0,SOFC - Y
Gadolinium,kg/MW,2050,9.1,9.1,9.1,9.1,SOFC - Y
Manganese,kg/MW,2050,30.299999999999997,30.299999999999997,30.299999999999997,30.299999999999997,SOFC - Y
Molybdenum,kg/MW,2050,0.0,0.0,0.0,0.0,SOFC - Y
Nickel,kg/MW,2050,2450.0,2450.0,2450.0,2450.0,SOFC - Y
Palladium,kg/MW,2050,0.0,0.0,0.0,0.0,SOFC - Y
Platinum,kg/MW,2050,0.0,0.0,0.0,0.0,SOFC - Y
Zinc,kg/MW,2050,353.5,353.5,353.5,353.5,SOFC - Y
Zirconium,kg/MW,2050,204.75,174.5625,84.0,325.5,SOFC - Y
Aluminium,kg/MW,2050,546.0,497.0,350.0,742.0,Wind-DDPM
Boron,kg/MW,2050,4.7534374999999995,4.672499999999999,4.199999999999999,5.15375,Wind-DDPM
Chromium,kg/MW,2050,333.03549999999996,256.697,167.29999999999998,591.8499999999999,Wind-DDPM
Copper,kg/MW,2050,3357.2,2280.95,1038.8,7000.0,Wind-DDPM
Lead,kg/MW,2050,4704.0,4704.0,4704.0,4704.0,Wind-DDPM
Manganese,kg/MW,2050,296.275,232.09375,39.55,553.0,Wind-DDPM
Molybdenum,kg/MW,2050,72.40683333333332,70.405125,52.720499999999994,88.19999999999999,Wind-DDPM
Nickel,kg/MW,2050,240.03979999999999,217.12425,77.69999999999999,427.0,Wind-DDPM
