scenario,Region,EMF30 Sector,pollutant,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,PM_total,0.0239999999999999,0.0239999999999999,0.0239999999999998,0.022194432,0.0206145599999999,0.01948608,0.017906208,0.0148505672698887,0.012443514754216,0.0086900544367918,0.0066637378391473,0.0045563924524445,0.0025578525050869,0.0018315652329412,0.0011913523505818,0.0005655891572164,4.8e-06,4.8e-06,4.8e-06,4.8e-06,4.8e-06,4.8e-06,4.8e-06
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,SO2,0.025,0.025,0.025,0.025,0.0249999999999999,0.0249999999999999,0.025,0.0249999999999999,0.025,0.025,0.025,0.025,0.0249999999999999,0.0249999999999999,0.0249999999999999,0.0249999999999999,0.0249999999999999,0.0249999999999999,0.0249999999999999,0.0249999999999999,0.0249999999999999,0.0249999999999999,0.0249999999999999
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,VOC,0.048,0.0482813207390076,0.0496842348124396,0.0517288890502451,0.0526820387826916,0.0508259993564413,0.0508259993564413,0.0508258803054836,0.0508259777006502,0.050825957663106,0.0508259376255619,0.0508259089655227,0.0508258803054836,0.0508258803054836,0.0508258803054836,0.0508258803054836,0.0508258803054836,0.0508258803054836,0.0508258803054836,0.0508258803054836,0.0508258803054836,0.0508258803054836,0.0508258803054836
SSP1,AFRI_EAST,End_Use_Industry_Coal,CO,3.3556138705200627,23.544712892090622,13.141476146706143,6.9126445315769445,2.4666278654990803,2.748203864196062,1.1951153772761491,1.1854095404749907,1.1695793876719438,0.8351423499937363,0.5716512358142041,0.3875687974302119,0.2644029984217062,0.2484466648927111,0.2353999174716993,0.2237477352372631,0.2141894174630947,0.2141894174630947,0.2141894174630947,0.2141894174630947,0.2141894174630947,0.2141894174630947,0.2141894174630947
SSP1,AFRI_EAST,End_Use_Industry_Coal,NH3,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.0000000000000004e-05,0.0007547850277316,0.0007547850277316,0.0007547850277316,0.0007547850277316,0.0007547850277316,0.0007547850277316,0.0007547850277316,0.0007547850277316,0.0007547850277316,0.0007547850277316,0.0007547850277316,0.0007547850277316,0.0007547850277316,0.0007547850277316,0.0007547850277316,0.0007547850277316
SSP1,AFRI_EAST,End_Use_Industry_Coal,NOX,0.1949809208163168,0.2010804979496774,0.2281702492653395,0.1139650244745229,0.1202559874089403,0.176828357878228,0.1762538390531955,0.1748224366715051,0.1724878292709252,0.1505503343781081,0.1385246818137431,0.1259113125680895,0.1157694500140783,0.111587505030229,0.1083954704429837,0.1058093487860438,0.1039207455441596,0.1039207455441596,0.1039207455441596,0.1039207455441596,0.1039207455441596,0.1039207455441596,0.1039207455441596
SSP1,AFRI_EAST,End_Use_Industry_Coal,PM_BC,0.1034682909988422,0.7297494639246472,0.4082699778731494,0.2125103995294588,0.0735413355193259,0.0819765802142846,0.0339131105939636,0.0336376935730607,0.0331884903137464,0.0261509408800138,0.0174372706586762,0.0118942103715933,0.0076874448880605,0.007385805618421,0.0071523247043103,0.0069591183919078,0.0068141016797853,0.0068141016797853,0.0068141016797853,0.0068141016797853,0.0068141016797853,0.0068141016797853,0.0068141016797853
SSP1,AFRI_EAST,End_Use_Industry_Coal,PM_OC,0.0342822521579046,0.2417412094199756,0.1353340024618256,0.070423924083004,0.0243550330783662,0.0271723751908805,0.0112537076778068,0.0492539792098433,0.2101078848335799,0.1518800301456887,0.0936521754577975,0.0714530773338204,0.0492539792098433,0.0492539792098433,0.0492539792098433,0.0492539792098433,0.0492539792098433,0.0492539792098433,0.0492539792098433,0.0492539792098433,0.0492539792098433,0.0492539792098433,0.0492539792098433
SSP1,AFRI_EAST,End_Use_Industry_Coal,PM_total,0.13775054315674679,0.9714906733446228,0.543603980334975,0.2829343236124628,0.0978963685976921,0.1091489554051651,0.045166818271770395,0.08289167278290399,0.2432963751473263,0.1780309710257025,0.1110894461164737,0.0833472877054137,0.0569414240979038,0.056639784828264296,0.0564063039141536,0.0562130976017511,0.0560680808896286,0.0560680808896286,0.0560680808896286,0.0560680808896286,0.0560680808896286,0.0560680808896286,0.0560680808896286
SSP1,AFRI_EAST,End_Use_Industry_Coal,SO2,0.5924019531407022,0.6235831676612049,0.7676310636051176,0.377672939264353,0.5335330553751018,0.6889530470046009,0.6635208946508185,0.6553858965412737,0.6442568655610335,0.5732772105121308,0.5332880165957239,0.492106311290606,0.4608655155153806,0.4478863469996104,0.438476322895752,0.4314722229830692,0.4269580181650164,0.4269580181650164,0.4269580181650164,0.4269580181650164,0.4269580181650164,0.4269580181650164,0.4269580181650164
SSP1,AFRI_EAST,End_Use_Industry_Coal,VOC,0.0439465729709054,0.0629842956437355,0.1466232850451009,0.1100702302101828,0.0469602891779866,0.0380358518486428,0.0216003794082802,0.021424957217782,0.0211388448363849,0.0185842128815399,0.0159477188115794,0.0140224822529095,0.0127591139133377,0.0127591139133377,0.0127591139133377,0.0127591139133377,0.0127591139133377,0.0127591139133377,0.0127591139133377,0.0127591139133377,0.0127591139133377,0.0127591139133377,0.0127591139133377
SSP1,AFRI_EAST,End_Use_Industry_HLF,CO,0.04,0.0399999999999999,0.04,0.04,0.04,0.04,0.04,0.0396751497977281,0.0391453213609415,0.0388396722691497,0.0388396722691497,0.0388396722691497,0.0388396722691497,0.0388396722691497,0.0388396722691497,0.0388396722691497,0.0388396722691497,0.0388396722691497,0.0388396722691497,0.0388396722691497,0.0388396722691497,0.0388396722691497,0.0388396722691497
SSP1,AFRI_EAST,End_Use_Industry_HLF,NH3,0.000599272340248,0.0005736101679158,0.0005257972641816,0.0005170986949266,0.0005330091949657,0.0004383242241141,0.0004307830040017,0.0006380712290017,0.0006895283386303,0.000663799783816,0.0006380712290017,0.0006380712290017,0.0006380712290017,0.0006380712290017,0.0006380712290017,0.0006380712290017,0.0006380712290017,0.0006380712290017,0.0006380712290017,0.0006380712290017,0.0006380712290017,0.0006380712290017,0.0006380712290017
SSP1,AFRI_EAST,End_Use_Industry_HLF,NOX,0.1709488117770097,0.1698681670176045,0.1723404577690704,0.1760487242201763,0.1803476227942689,0.1712164516775591,0.1707905849692394,0.1664993303192956,0.1627488427007832,0.1310100447083816,0.1138128381956798,0.0964673342472718,0.0811370086166214,0.0752485692629556,0.0703534585654591,0.06588795883102,0.0621425587413594,0.0621425587413594,0.0621425587413594,0.0621425587413594,0.0621425587413594,0.0621425587413594,0.0621425587413594
SSP1,AFRI_EAST,End_Use_Industry_HLF,PM_BC,0.000665291268092,0.0006284026399938,0.0005663510030133,0.0005556605501598,0.0005752143923558,0.0004588475293524,0.0004495794467854,0.0003965602669521,0.0003673928900376,0.000263958877336,0.0002089832375105,0.0001601421332299,0.0001148583824234,9.810840112981922e-05,8.361681522047864e-05,6.974749365004339e-05,5.7555448653211615e-05,5.7555448653211615e-05,5.7555448653211615e-05,5.7555448653211615e-05,5.7555448653211615e-05,5.7555448653211615e-05,5.7555448653211615e-05
SSP1,AFRI_EAST,End_Use_Industry_HLF,PM_OC,0.0002801289350455,0.0002607598003003,0.0002305736244861,0.0002256031910051,0.0002346945806091,0.0001805908153259,0.0001762817005927,0.0001518968336686,0.0001387694632969,9.514101259724636e-05,7.202113500450411e-05,5.1856644134272165e-05,3.289007992132168e-05,2.5953027659523543e-05,1.9879487112369027e-05,1.3987721835178227e-05,8.743623373760362e-06,8.743623373760362e-06,8.743623373760362e-06,8.743623373760362e-06,8.743623373760362e-06,8.743623373760362e-06,8.743623373760362e-06
SSP1,AFRI_EAST,End_Use_Industry_HLF,PM_total,0.0009454202031375001,0.0008891624402941,0.0007969246274994,0.0007812637411649,0.0008099089729649,0.0006394383446783,0.0006258611473781,0.0005484571006207,0.0005061623533345,0.00035909988993324633,0.0002810043725150041,0.0002119987773641722,0.00014774846234472168,0.00012406142878934275,0.00010349630233284767,8.373521548522162e-05,6.629907202697198e-05,6.629907202697198e-05,6.629907202697198e-05,6.629907202697198e-05,6.629907202697198e-05,6.629907202697198e-05,6.629907202697198e-05
SSP1,AFRI_EAST,End_Use_Industry_HLF,SO2,1.1656600083167985,1.1125180548078073,0.8601191007102128,0.8279514236070414,0.7631193021311303,0.5388915101881536,0.4699556416110189,0.3637311711280362,0.2928126194440262,0.1872846977716405,0.132210022910152,0.1094874539312331,0.0890841606312586,0.0813446583219353,0.0748248454619935,0.0687788585982514,0.0636231391153504,0.0636231391153504,0.0636231391153504,0.0636231391153504,0.0636231391153504,0.0636231391153504,0.0636231391153504
SSP1,AFRI_EAST,End_Use_Industry_HLF,VOC,0.0049168823270368,0.0048645105467671,0.0047669331922074,0.0047491810100544,0.0047816514182975,0.0045884167839065,0.0045730265387791,0.0044539090450921,0.0044498706516971,0.0044289237435681,0.0044079768354392,0.0044079768354392,0.0044079768354392,0.0044079768354392,0.0044079768354392,0.0044079768354392,0.0044079768354392,0.0044079768354392,0.0044079768354392,0.0044079768354392,0.0044079768354392,0.0044079768354392,0.0044079768354392
SSP1,AFRI_EAST,End_Use_Industry_LLF,CO,0.0375793345738832,0.0377602154116748,0.0274479473087183,0.0245782641780722,0.028350496971043,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0306338755453717
