scenario;region;year;technology;min;mean;max
frozen;JAPAN;2020;Particulate Matter, > 2.5 um and < 10um;3.750e-05;3.750e-05;3.750e-05
frozen;JAPAN;2050;Particulate Matter, > 2.5 um and < 10um;3.750e-05;3.750e-05;3.750e-05
frozen;LATAM;2020;Particulate Matter, > 2.5 um and < 10um;5.482e-05;5.482e-05;5.482e-05
frozen;LATAM;2050;Particulate Matter, > 2.5 um and < 10um;5.482e-05;5.482e-05;5.482e-05
frozen;NAM;2020;Particulate Matter, > 2.5 um and < 10um;3.750e-05;3.750e-05;3.750e-05
frozen;NAM;2050;Particulate Matter, > 2.5 um and < 10um;3.750e-05;3.750e-05;3.750e-05
frozen;AFR;2020;Sulfur dioxide;9.630e-02;9.630e-02;9.630e-02
frozen;AFR;2050;Sulfur dioxide;9.630e-02;9.630e-02;9.630e-02
frozen;CAZ;2020;Sulfur dioxide;2.770e-02;2.770e-02;2.770e-02
frozen;CAZ;2050;Sulfur dioxide;2.770e-02;2.770e-02;2.770e-02
frozen;CHA;2020;Sulfur dioxide;7.335e-02;7.335e-02;7.335e-02
frozen;CHA;2050;Sulfur dioxide;7.335e-02;7.335e-02;7.335e-02
frozen;EUR;2020;Sulfur dioxide;3.500e-03;3.500e-03;3.500e-03
frozen;EUR;2050;Sulfur dioxide;3.500e-03;3.500e-03;3.500e-03
frozen;GLO;2020;Sulfur dioxide;9.630e-02;9.630e-02;9.630e-02
frozen;GLO;2050;Sulfur dioxide;9.630e-02;9.630e-02;9.630e-02
frozen;JAPAN;2020;Sulfur dioxide;3.500e-03;3.500e-03;3.500e-03
frozen;JAPAN;2050;Sulfur dioxide;3.500e-03;3.500e-03;3.500e-03
frozen;LATAM;2020;Sulfur dioxide;7.335e-02;7.335e-02;7.335e-02
frozen;LATAM;2050;Sulfur dioxide;7.335e-02;7.335e-02;7.335e-02
frozen;NAM;2020;Sulfur dioxide;3.500e-03;3.500e-03;3.500e-03
frozen;NAM;2050;Sulfur dioxide;3.500e-03;3.500e-03;3.500e-03
intervention;AFR;2020;Arsenic ion;1.964e-04;1.964e-04;1.964e-04
intervention;AFR;2020;Cadmium II;7.651e-05;7.651e-05;7.651e-05
intervention;AFR;2020;Copper ion;8.120e-05;8.120e-05;8.120e-05
