scenario;region;year;Arsenic ion;Cadmium II;Copper ion;Lead II;Particulate Matter, < 2.5 um;Particulate Matter, > 10 um;Particulate Matter, > 2.5 um and < 10um;Sulfur dioxide
high;NAM;2050;1e-06;1e-07;1.3e-05;3.5e-06;5e-05;1.5e-05;1.5e-05;0.001
low;AFR;2020;0.0001964;7.651000000000001e-05;8.12e-05;1.225e-05;0.000192;5.7600000000000004e-05;5.7600000000000004e-05;0.09630000000000001
low;AFR;2050;0.0001014;4.5010000000000004e-05;6.69e-05;1.3499999999999998e-05;0.0001885;5.655e-05;5.655e-05;0.05090000000000001
low;CAZ;2020;5.8e-06;1.202e-05;4.8200000000000006e-05;1.35e-05;0.00017;5.1e-05;5.1e-05;0.005
low;CAZ;2050;5.8e-06;1.202e-05;4.8200000000000006e-05;1.35e-05;0.00017;5.1e-05;5.1e-05;0.005
low;CHA;2020;0.00010109999999999999;4.4265000000000004e-05;6.47e-05;1.2875e-05;0.000181;5.4300000000000005e-05;5.4300000000000005e-05;0.05065000000000001
low;CHA;2050;6.1e-06;1.2765e-05;5.04e-05;1.4124999999999998e-05;0.0001775;5.325e-05;5.325e-05;0.00525
low;EUR;2020;4e-06;7.5500000000000006e-06;3.5000000000000004e-05;9.75e-06;0.000125;3.7500000000000003e-05;3.7500000000000003e-05;0.0035
low;EUR;2050;3.4000000000000005e-06;6.0600000000000004e-06;3.06e-05;8.5e-06;0.00011;3.3e-05;3.3e-05;0.003
low;GLO;2020;0.0001964;7.651000000000001e-05;8.12e-05;1.225e-05;0.000192;5.7600000000000004e-05;5.7600000000000004e-05;0.09630000000000001
low;GLO;2050;0.0001014;4.5010000000000004e-05;6.69e-05;1.3499999999999998e-05;0.0001885;5.655e-05;5.655e-05;0.05090000000000001
low;JAPAN;2020;4e-06;7.5500000000000006e-06;3.5000000000000004e-05;9.75e-06;0.000125;3.7500000000000003e-05;3.7500000000000003e-05;0.0035
low;JAPAN;2050;3.4000000000000005e-06;6.0600000000000004e-06;3.06e-05;8.5e-06;0.00011;3.3e-05;3.3e-05;0.003
low;LATAM;2020;0.00010109999999999999;4.4265000000000004e-05;6.47e-05;1.2875e-05;0.000181;5.4300000000000005e-05;5.4300000000000005e-05;0.05065000000000001
low;LATAM;2050;6.1e-06;1.2765e-05;5.04e-05;1.4124999999999998e-05;0.0001775;5.325e-05;5.325e-05;0.00525
low;NAM;2020;4e-06;7.5500000000000006e-06;3.5000000000000004e-05;9.75e-06;0.000125;3.7500000000000003e-05;3.7500000000000003e-05;0.0035
low;NAM;2050;3.4000000000000005e-06;6.0600000000000004e-06;3.06e-05;8.5e-06;0.00011;3.3e-05;3.3e-05;0.003
